P=0.24999999999975, blue=500000000000, delta=500000000000
P=1.2496200000012497e-19, blue=-353.0, delta=1.0
P=1.2567000000012566e-19, blue=-354.0, delta=1.0
P=1.2638000000012639e-19, blue=-355.0, delta=1.0
P=1.270920000001271e-19, blue=-356.0, delta=1.0
P=1.2780600000012782e-19, blue=-357.0, delta=1.0
P=1.2852200000012853e-19, blue=-358.0, delta=1.0
P=1.2924000000012923e-19, blue=-359.0, delta=1.0
P=1.2996000000012996e-19, blue=-360.0, delta=1.0
P=1.3068200000013068e-19, blue=-361.0, delta=1.0
P=1.314060000001314e-19, blue=-362.0, delta=1.0
P=1.3213200000013212e-19, blue=-363.0, delta=1.0
P=1.3286000000013287e-19, blue=-364.0, delta=1.0
P=1.3359000000013359e-19, blue=-365.0, delta=1.0
P=1.343220000001343e-19, blue=-366.0, delta=1.0
P=1.3505600000013507e-19, blue=-367.0, delta=1.0
P=1.357920000001358e-19, blue=-368.0, delta=1.0
P=1.3653000000013655e-19, blue=-369.0, delta=1.0
P=1.3727000000013729e-19, blue=-370.0, delta=1.0
P=1.3801200000013802e-19, blue=-371.0, delta=1.0
P=1.3875600000013876e-19, blue=-372.0, delta=1.0
P=1.395020000001395e-19, blue=-373.0, delta=1.0
P=1.4025000000014027e-19, blue=-374.0, delta=1.0
P=1.41000000000141e-19, blue=-375.0, delta=1.0
P=1.4175200000014175e-19, blue=-376.0, delta=1.0
P=1.4250600000014251e-19, blue=-377.0, delta=1.0
P=1.4326200000014325e-19, blue=-378.0, delta=1.0
P=1.44020000000144e-19, blue=-379.0, delta=1.0
P=1.4478000000014476e-19, blue=-380.0, delta=1.0
P=1.4554200000014553e-19, blue=-381.0, delta=1.0
P=1.4630600000014632e-19, blue=-382.0, delta=1.0
P=1.4707200000014708e-19, blue=-383.0, delta=1.0
P=1.4784000000014786e-19, blue=-384.0, delta=1.0
P=1.4861000000014861e-19, blue=-385.0, delta=1.0
P=1.493820000001494e-19, blue=-386.0, delta=1.0
P=1.5015600000015016e-19, blue=-387.0, delta=1.0
P=1.5093200000015092e-19, blue=-388.0, delta=1.0
P=1.5171000000015172e-19, blue=-389.0, delta=1.0
P=1.5249000000015249e-19, blue=-390.0, delta=1.0
P=1.5327200000015328e-19, blue=-391.0, delta=1.0
P=1.5405600000015404e-19, blue=-392.0, delta=1.0
P=1.5484200000015484e-19, blue=-393.0, delta=1.0
P=1.5563000000015562e-19, blue=-394.0, delta=1.0
P=1.564200000001564e-19, blue=-395.0, delta=1.0
P=1.5721200000015721e-19, blue=-396.0, delta=1.0
P=1.58006000000158e-19, blue=-397.0, delta=1.0
P=1.588020000001588e-19, blue=-398.0, delta=1.0
P=1.5960000000015961e-19, blue=-399.0, delta=1.0
P=1.604000000001604e-19, blue=-400.0, delta=1.0
P=1.6120200000016122e-19, blue=-401.0, delta=1.0
P=1.6200600000016201e-19, blue=-402.0, delta=1.0
P=1.628120000001628e-19, blue=-403.0, delta=1.0
P=1.6362000000016363e-19, blue=-404.0, delta=1.0
P=1.6443000000016443e-19, blue=-405.0, delta=1.0
P=1.6524200000016525e-19, blue=-406.0, delta=1.0
P=1.6605600000016605e-19, blue=-407.0, delta=1.0
P=1.6687200000016688e-19, blue=-408.0, delta=1.0
P=1.6769000000016768e-19, blue=-409.0, delta=1.0
P=1.6851000000016848e-19, blue=-410.0, delta=1.0
P=1.6933200000016933e-19, blue=-411.0, delta=1.0
P=1.7015600000017015e-19, blue=-412.0, delta=1.0
P=1.70982000000171e-19, blue=-413.0, delta=1.0
P=1.7181000000017182e-19, blue=-414.0, delta=1.0
P=1.7264000000017263e-19, blue=-415.0, delta=1.0
P=1.7347200000017348e-19, blue=-416.0, delta=1.0
P=1.7430600000017431e-19, blue=-417.0, delta=1.0
P=1.7514200000017516e-19, blue=-418.0, delta=1.0
P=1.75980000000176e-19, blue=-419.0, delta=1.0
P=1.768200000001768e-19, blue=-420.0, delta=1.0
P=1.7766200000017766e-19, blue=-421.0, delta=1.0
P=1.785060000001785e-19, blue=-422.0, delta=1.0
P=1.7935200000017935e-19, blue=-423.0, delta=1.0
P=1.8020000000018018e-19, blue=-424.0, delta=1.0
P=1.8105000000018103e-19, blue=-425.0, delta=1.0
P=1.8190200000018189e-19, blue=-426.0, delta=1.0
P=1.8275600000018275e-19, blue=-427.0, delta=1.0
P=1.8361200000018363e-19, blue=-428.0, delta=1.0
P=1.8447000000018447e-19, blue=-429.0, delta=1.0
P=1.8533000000018535e-19, blue=-430.0, delta=1.0
P=1.861920000001862e-19, blue=-431.0, delta=1.0
P=1.8705600000018706e-19, blue=-432.0, delta=1.0
P=1.8792200000018792e-19, blue=-433.0, delta=1.0
P=1.887900000001888e-19, blue=-434.0, delta=1.0
P=1.8966000000018967e-19, blue=-435.0, delta=1.0
P=1.9053200000019052e-19, blue=-436.0, delta=1.0
P=1.914060000001914e-19, blue=-437.0, delta=1.0
P=1.9228200000019228e-19, blue=-438.0, delta=1.0
P=1.9316000000019314e-19, blue=-439.0, delta=1.0
P=1.9404000000019405e-19, blue=-440.0, delta=1.0
P=1.9492200000019492e-19, blue=-441.0, delta=1.0
P=1.958060000001958e-19, blue=-442.0, delta=1.0
P=1.966920000001967e-19, blue=-443.0, delta=1.0
P=1.9758000000019758e-19, blue=-444.0, delta=1.0
P=1.984700000001985e-19, blue=-445.0, delta=1.0
P=1.9936200000019937e-19, blue=-446.0, delta=1.0
P=2.0025600000020026e-19, blue=-447.0, delta=1.0
P=2.0115200000020116e-19, blue=-448.0, delta=1.0
P=2.0205000000020205e-19, blue=-449.0, delta=1.0
P=2.0295000000020297e-19, blue=-450.0, delta=1.0
P=2.0385200000020385e-19, blue=-451.0, delta=1.0
P=2.0475600000020477e-19, blue=-452.0, delta=1.0
P=2.0566200000020565e-19, blue=-453.0, delta=1.0
P=2.0657000000020656e-19, blue=-454.0, delta=1.0
P=2.0748000000020749e-19, blue=-455.0, delta=1.0
P=2.0839200000020838e-19, blue=-456.0, delta=1.0
P=2.0930600000020932e-19, blue=-457.0, delta=1.0
P=2.1022200000021023e-19, blue=-458.0, delta=1.0
P=2.1114000000021113e-19, blue=-459.0, delta=1.0
P=2.1206000000021206e-19, blue=-460.0, delta=1.0
P=2.1298200000021298e-19, blue=-461.0, delta=1.0
P=2.1390600000021393e-19, blue=-462.0, delta=1.0
